"날짜","종가","오픈","고가","저가","변동 %"
"2018년 05월 09일","1,279.12","1,279.29","1,284.55","1,278.35","-0.04%"
"2018년 05월 08일","1,279.65","1,287.69","1,289.30","1,278.12","-0.62%"
"2018년 05월 07일","1,287.66","1,283.83","1,290.21","1,283.39","0.24%"
"2018년 05월 04일","1,284.63","1,289.49","1,293.52","1,283.40","-0.37%"
"2018년 05월 03일","1,289.44","1,290.48","1,293.52","1,286.14","-0.08%"
"2018년 05월 02일","1,290.53","1,287.64","1,294.46","1,286.79","0.24%"
"2018년 05월 01일","1,287.48","1,292.68","1,293.84","1,285.30","-0.42%"
"2018년 04월 30일","1,292.95","1,294.87","1,297.49","1,290.13","-0.18%"
"2018년 04월 27일","1,295.31","1,304.34","1,307.32","1,289.57","-0.69%"
"2018년 04월 26일","1,304.34","1,316.21","1,318.21","1,303.80","-0.89%"
"2018년 04월 25일","1,316.08","1,317.72","1,323.21","1,315.12","-0.13%"
"2018년 04월 24일","1,317.84","1,320.05","1,320.85","1,312.60","-0.17%"
"2018년 04월 23일","1,320.04","1,316.16","1,322.01","1,310.51","0.29%"
"2018년 04월 20일","1,316.16","1,317.58","1,320.83","1,314.53","-0.11%"
"2018년 04월 19일","1,317.59","1,317.98","1,321.87","1,311.18","-0.03%"
"2018년 04월 18일","1,317.92","1,320.17","1,323.78","1,316.55","-0.16%"
"2018년 04월 17일","1,320.08","1,325.35","1,326.87","1,316.92","-0.41%"
"2018년 04월 16일","1,325.45","1,321.22","1,330.69","1,320.08","0.30%"
"2018년 04월 13일","1,321.49","1,320.26","1,324.00","1,315.19","0.09%"
"2018년 04월 12일","1,320.27","1,319.44","1,326.19","1,317.27","0.07%"
"2018년 04월 11일","1,319.34","1,315.68","1,325.47","1,315.04","0.28%"
"2018년 04월 10일","1,315.68","1,317.99","1,322.56","1,310.53","-0.17%"
"2018년 04월 09일","1,317.94","1,314.60","1,319.05","1,307.31","0.21%"
"2018년 04월 06일","1,315.21","1,300.67","1,318.35","1,300.40","1.12%"
